Move Number,Eval,Centipawn Loss,Time Left,Time Spent
19w,0.4,0.06999999999999995,59,2
19b,0.36,0,64,1
20w,0.08,0.27999999999999997,55,6
20b,1.95,1.8699999999999999,63,3
21w,0.84,1.1099999999999999,49,8
21b,0.96,0.12,63,2
22w,0.32,0.6399999999999999,50,1
22b,0.38,0.06,55,10
23w,0.46,0,44,8
23b,0.65,0.19,53,4
24w,0.82,0,29,17
24b,0.75,0,43,12
25w,0.6,0.15000000000000002,31,0
25b,0.77,0.17000000000000004,42,3
26w,0.42,0.35000000000000003,31,2
26b,0.53,0.11000000000000004,43,1
27w,0.52,0.010000000000000009,29,4
27b,0.47,0,38,7
28w,-0.41,0.8799999999999999,11,20
28b,0.75,1.16,34,6
29w,-0.46,1.21,12,1
29b,1.06,1.52,33,3
30w,0.26,0.8,10,4
30b,0.37,0.10999999999999999,35,0
31w,0.08,0.29,12,0
31b,0.3,0.21999999999999997,37,0
32w,0.0,0.3,9,5
32b,0.0,0,36,3
33w,0.0,0,7,4
33b,0.08,0.08,33,5
34w,0.08,0,5,4
34b,0.8,0.7200000000000001,19,16
35w,0.72,0.08000000000000007,4,3
35b,0.54,0,20,1
36w,0.4,0.14,5,1
36b,3.53,3.13,20,2
37w,0.08,3.4499999999999997,6,1
37b,0.08,0,21,1
38w,0.08,0,8,0
38b,0.6,0.52,16,7
39w,0.51,0.08999999999999997,4,6
39b,5.32,4.8100000000000005,13,5
40w,5.17,0.15000000000000036,4,2
40b,5.02,0,15,0
41w,4.38,0.6399999999999997,5,1
41b,4.87,0.4900000000000002,16,1
1w,0.05,0,900,15
1b,0.2,0.15000000000000002,900,15
2w,0.15,0.05000000000000002,913,2
2b,0.2,0.05000000000000002,914,1
3w,0.19,0.010000000000000009,926,2
3b,0.27,0.08000000000000002,928,1
4w,-0.09,0.36,939,2
4b,-0.05,0.039999999999999994,943,0
5w,-0.18,0.13,952,2
5b,0.58,0.76,957,1
6w,0.19,0.38999999999999996,940,27
6b,0.15,0,969,3
7w,0.22,0,953,2
7b,0.05,0,983,1
8w,-0.17,0.22000000000000003,873,95
8b,-0.2,0,979,19
9w,-0.27,0.07,878,10
9b,-0.17,0.1,983,11
10w,-0.34,0.17,883,10
10b,-0.25,0.09000000000000002,995,3
11w,-0.28,0.030000000000000027,881,17
11b,-0.2,0.08000000000000002,1005,5
12w,-0.33,0.13,870,26
12b,-0.1,0.23,1011,9
13w,-0.42,0.31999999999999995,837,48
13b,0.15,0.57,971,55
14w,-0.18,0.32999999999999996,808,44
14b,0.3,0.48,979,7
15w,-0.15,0.44999999999999996,817,6
15b,-0.09,0.06,839,155
16w,-0.41,0.31999999999999995,812,20
16b,-0.27,0.13999999999999996,773,81
17w,-0.52,0.25,773,54
17b,-0.44,0.08000000000000002,719,69
18w,-0.51,0.07,697,91
18b,0.0,0.51,537,197
19w,-0.18,0.18,629,83
19b,0.6,0.78,422,130
20w,0.24,0.36,593,51
20b,0.4,0.16000000000000003,358,79
21w,0.43,0,558,50
21b,0.56,0.13000000000000006,342,31
22w,0.36,0.20000000000000007,506,67
22b,0.74,0.38,334,23
23w,-0.07,0.81,393,128
23b,0.0,0.07,305,44
24w,-1.28,1.28,393,15
24b,0.0,1.28,306,14
25w,0.0,0,374,34
25b,0.0,0,293,28
26w,-5.1,5.1,282,107
26b,-4.86,0.23999999999999932,274,34
27w,-4.93,0.0699999999999994,295,2
27b,-4.6,0.33000000000000007,288,1
28w,-4.91,0.3100000000000005,298,12
28b,-4.43,0.4800000000000004,294,9
29w,-4.35,0,227,86
29b,-4.11,0.23999999999999932,304,5
30w,-4.18,0.0699999999999994,207,35
30b,-4.11,0.0699999999999994,307,12
31w,-4.1,0,217,5
31b,-3.03,1.0699999999999998,322,0
32w,-4.28,1.2500000000000004,223,9
32b,-3.9,0.38000000000000034,324,13
33w,-6.31,2.4099999999999997,227,11
33b,-6.17,0.13999999999999968,329,10
34w,-5.9,0,237,5
34b,-5.4,0.5,344,0
35w,-7.28,1.88,231,21
35b,-7.26,0.020000000000000462,356,3
36w,-7.21,0,235,11
36b,-7.1,0.11000000000000032,357,14
1w,0.09,0,180,0
1b,0.23,0.14,180,0
2w,0.25,0,178,2
2b,0.45,0.2,166,14
3w,0.27,0.18,167,11
3b,0.28,0.010000000000000009,157,9
4w,0.08,0.2,165,2
4b,0.35,0.26999999999999996,156,1
5w,0.11,0.24,164,1
5b,0.22,0.11,155,1
6w,0.17,0.04999999999999999,162,2
6b,0.0,0,154,1
7w,0.08,0,161,1
7b,0.14,0.06000000000000001,154,0
8w,0.2,0,159,2
8b,0.23,0.03,151,3
9w,0.18,0.05000000000000002,158,1
9b,0.15,0,150,1
10w,0.27,0,157,1
10b,0.15,0,149,1
11w,0.44,0,155,2
11b,0.47,0.02999999999999997,146,3
12w,0.46,0.009999999999999953,152,3
12b,0.72,0.25999999999999995,144,2
13w,0.21,0.51,149,3
13b,1.28,1.07,143,1
14w,0.48,0.8,148,1
14b,0.65,0.17000000000000004,141,2
15w,0.58,0.07000000000000006,148,0
15b,2.3,1.7199999999999998,135,6
16w,2.1,0.19999999999999973,141,7
16b,2.5,0.3999999999999999,124,11
17w,1.07,1.43,128,13
17b,1.21,0.1399999999999999,114,10
18w,1.17,0.040000000000000036,125,3
18b,2.24,1.0700000000000003,112,2
19w,1.12,1.12,122,3
19b,2.98,1.8599999999999999,110,2
20w,2.03,0.9500000000000002,113,9
20b,4.81,2.78,104,6
21w,3.6,1.2099999999999995,108,5
21b,3.54,0,101,3
22w,1.42,2.12,107,1
22b,2.34,0.9199999999999999,98,3
23w,2.89,0,85,22
23b,6.51,3.6199999999999997,93,5
24w,3.74,2.7699999999999996,75,10
24b,3.7,0,92,1
25w,3.59,0.11000000000000032,67,8
25b,3.67,0.08000000000000007,80,12
26w,3.6,0.06999999999999984,67,0
26b,3.62,0.020000000000000018,76,4
27w,3.31,0.31000000000000005,65,2
27b,26.3,22.990000000000002,74,2
28w,2.39,23.91,64,1
28b,2.48,0.08999999999999986,65,9
29w,0.62,1.8599999999999999,64,0
29b,3.05,2.4299999999999997,63,2
30w,1.44,1.6099999999999999,54,10
30b,1.43,0,61,2
31w,0.35,1.08,53,1
31b,2.51,2.1599999999999997,58,3
32w,1.13,1.38,49,4
32b,2.24,1.1100000000000003,50,8
33w,1.03,1.2100000000000002,43,6
33b,4.16,3.13,48,2
34w,1.25,2.91,34,9
34b,3.99,2.74,45,3
35w,0.0,3.99,32,2
35b,0.0,0,43,2
36w,0.0,0,29,3
36b,10.0,10.0,42,1
37w,-6.22,16.22,22,7
37b,-6.06,0.16000000000000014,39,3
38w,-5.99,0,19,3
38b,-5.85,0.14000000000000057,38,1
39w,-5.72,0,17,2
39b,-5.66,0.05999999999999961,37,1
40w,-5.48,0,16,1
40b,-5.32,0.16000000000000014,36,1
41w,-5.3,0,16,0
41b,-3.96,1.3399999999999999,35,1
42w,-4.11,0.15000000000000036,12,4
42b,-2.94,1.1700000000000004,33,2
43w,-6.57,3.6300000000000003,10,2
43b,-4.99,1.58,29,4
44w,-55.37,50.379999999999995,8,2
44b,-3.84,51.53,26,3
45w,-11.25,7.41,7,1
45b,-10.6,0.6500000000000004,25,1
46w,-10.44,0,5,2
46b,-8.64,1.799999999999999,23,2
47w,-54.0,45.36,4,1
47b,-7.4,46.6,22,1
1w,0.08,0,300,0
1b,0.37,0.29,300,0
2w,0.27,0.09999999999999998,299,1
2b,0.42,0.14999999999999997,300,0
3w,0.09,0.32999999999999996,298,1
3b,0.28,0.19000000000000003,298,2
4w,0.2,0.08000000000000002,297,1
4b,0.62,0.42,298,0
5w,0.27,0.35,294,3
5b,0.24,0,297,1
6w,0.07,0.16999999999999998,289,5
6b,2.23,2.16,279,18
7w,2.16,0.06999999999999984,287,2
7b,2.21,0.04999999999999982,278,1
8w,2.13,0.08000000000000007,285,2
8b,2.37,0.2400000000000002,276,2
9w,2.34,0.03000000000000025,279,6
9b,2.4,0.06000000000000005,273,3
10w,2.12,0.2799999999999998,277,2
10b,2.35,0.22999999999999998,269,4
11w,1.65,0.7000000000000002,268,9
11b,1.84,0.19000000000000017,267,2
12w,1.38,0.4600000000000002,264,4
12b,1.59,0.2100000000000002,263,4
13w,1.61,0,263,1
13b,1.7,0.08999999999999986,259,4
14w,1.53,0.16999999999999993,245,18
14b,1.72,0.18999999999999995,253,6
15w,1.61,0.10999999999999988,242,3
15b,1.87,0.26,247,6
16w,1.62,0.25,241,1
16b,2.51,0.8899999999999997,242,5
17w,1.62,0.8899999999999997,239,2
17b,4.05,2.4299999999999997,233,9
18w,2.91,1.1399999999999997,237,2
18b,3.15,0.23999999999999977,231,2
19w,2.65,0.5,235,2
19b,3.02,0.3700000000000001,218,13
20w,2.69,0.33000000000000007,233,2
20b,2.9,0.20999999999999996,215,3
21w,2.43,0.46999999999999975,231,2
21b,4.53,2.1,212,3
22w,4.28,0.25,229,2
22b,5.47,1.1899999999999995,195,17
23w,4.94,0.5299999999999994,228,1
23b,6.9,1.96,191,4
24w,6.65,0.25,226,2
24b,6.96,0.3099999999999996,185,6
25w,6.15,0.8099999999999996,222,4
25b,6.96,0.8099999999999996,179,6
26w,5.76,1.2000000000000002,219,3
26b,6.31,0.5499999999999998,175,4
27w,4.52,1.79,218,1
27b,4.04,0,169,6
28w,0.46,3.58,204,14
28b,0.84,0.37999999999999995,158,11
29w,0.51,0.32999999999999996,193,11
29b,0.68,0.17000000000000004,150,8
30w,-0.77,1.4500000000000002,191,2
30b,-0.34,0.43,148,2
31w,-7.82,7.48,181,10
31b,-7.65,0.16999999999999993,144,4
32w,-7.57,0,116,65
32b,-7.27,0.3000000000000007,141,3
33w,-7.27,0,116,0
33b,-1.41,5.859999999999999,138,3
34w,-1.9,0.49,113,3
34b,-1.53,0.3699999999999999,121,17
35w,-2.12,0.5900000000000001,110,3
35b,-1.87,0.25,120,1
36w,-2.97,1.1,108,2
36b,-1.77,1.2000000000000002,116,4
37w,-1.84,0.07000000000000006,105,3
37b,0.0,1.84,106,10
38w,0.0,0,103,2
38b,0.0,0,105,1
39w,0.0,0,102,1
39b,0.0,0,104,1
40w,-2.12,2.12,101,1
40b,-0.57,1.5500000000000003,98,6
41w,-2.52,1.9500000000000002,99,2
41b,-0.55,1.97,96,2
42w,-2.44,1.89,98,1
42b,-0.68,1.7599999999999998,92,4
43w,-1.71,1.0299999999999998,95,3
43b,-1.79,0,90,2
44w,-2.07,0.2799999999999998,84,11
44b,-2.32,0,88,2
45w,-8.33,6.01,78,6
45b,-8.33,0,85,3
46w,-8.33,0,74,4
46b,-8.32,0.009999999999999787,80,5
47w,-8.23,0,72,2
47b,-8.16,0.07000000000000028,76,4
48w,-8.48,0.3200000000000003,65,7
48b,-8.48,0,74,2
49w,-8.47,0,59,6
49b,-8.4,0.07000000000000028,73,1
50w,-8.32,0,58,1
50b,-8.25,0.07000000000000028,72,1
1w,0.07,0,60,0
1b,0.2,0.13,60,0
2w,0.12,0.08000000000000002,60,0
2b,0.23,0.11000000000000001,60,0
3w,-0.26,0.49,59,1
3b,-0.17,0.09,58,2
4w,-0.1,0,59,0
4b,-0.09,0.010000000000000009,57,1
5w,-0.18,0.09,59,0
5b,-0.2,0,56,1
6w,-0.21,0.009999999999999981,58,1
6b,-0.04,0.16999999999999998,56,0
7w,-0.1,0.060000000000000005,57,1
7b,-0.11,0,55,1
8w,-0.29,0.18,57,0
8b,-0.06,0.22999999999999998,53,2
9w,-0.98,0.9199999999999999,54,3
9b,-0.02,0.96,52,1
10w,-1.04,1.02,53,1
10b,-1.0,0.040000000000000036,51,1
11w,-2.52,1.52,52,1
11b,-0.56,1.96,49,2
12w,-0.76,0.19999999999999996,51,1
12b,-0.28,0.48,49,0
13w,-0.37,0.08999999999999997,51,0
13b,-0.27,0.09999999999999998,46,3
14w,-0.69,0.41999999999999993,51,0
14b,-0.71,0,44,2
15w,-4.05,3.34,41,10
15b,-3.98,0.06999999999999984,43,1
16w,-3.95,0,28,13
16b,-1.67,2.2800000000000002,41,2
17w,-1.73,0.06000000000000005,26,2
17b,-1.5,0.22999999999999998,39,2
18w,-2.43,0.9300000000000002,25,1
18b,-2.22,0.20999999999999996,35,4
19w,-2.33,0.10999999999999988,25,0
19b,-2.16,0.16999999999999993,34,1
20w,-2.31,0.1499999999999999,23,2
20b,-2.16,0.1499999999999999,32,2
21w,-1.92,0,22,1
21b,-0.69,1.23,31,1
22w,-1.86,1.1700000000000002,19,3
22b,-1.65,0.2100000000000002,30,1
23w,-1.97,0.32000000000000006,19,0
23b,-1.86,0.10999999999999988,29,1
24w,-1.87,0.010000000000000009,18,1
24b,-2.02,0,28,1
25w,-3.2,1.1800000000000002,17,1
25b,-2.87,0.33000000000000007,25,3
26w,-3.18,0.31000000000000005,15,2
26b,-2.01,1.1700000000000004,20,5
27w,-2.55,0.54,15,0
27b,-2.69,0,19,1
28w,-4.35,1.6599999999999997,15,0
28b,-2.44,1.9099999999999997,19,0
29w,-6.63,4.1899999999999995,14,1
29b,-6.08,0.5499999999999998,18,1
30w,-7.7,1.62,13,1
30b,-1.54,6.16,17,1
31w,-0.87,0,12,1
31b,-0.97,0,16,1
32w,-5.3,4.33,9,3
32b,6.57,11.870000000000001,15,1
33w,-5.33,11.9,7,2
33b,-0.08,5.25,14,1
34w,-0.16,0.08,6,1
34b,-0.3,0,13,1
35w,-3.5,3.2,5,1
35b,-3.3,0.20000000000000018,12,1
36w,-10.0,6.7,3,2
36b,-10.0,0,11,1
37w,-10.0,0,2,1
37b,-17.77,0,10,1
1w,0.09,0,60,0
1b,0.31,0.22,60,0
2w,0.37,0,59,1
2b,0.75,0.38,60,0
3w,0.88,0,57,2
3b,0.89,0.010000000000000009,60,0
4w,0.85,0.040000000000000036,56,1
4b,0.9,0.050000000000000044,60,0
5w,-2.31,3.21,55,1
5b,-2.13,0.18000000000000016,60,0
6w,-2.39,0.26000000000000023,53,2
6b,-2.22,0.16999999999999993,60,0
7w,-2.22,0,52,1
7b,-1.94,0.28000000000000025,57,3
8w,-2.0,0.06000000000000005,51,1
8b,-2.11,0,56,1
9w,-2.37,0.26000000000000023,50,1
9b,-2.07,0.30000000000000027,55,1
10w,-2.28,0.20999999999999996,49,1
10b,-2.2,0.07999999999999963,54,1
11w,-2.43,0.22999999999999998,48,1
11b,-1.99,0.44000000000000017,53,1
12w,-2.95,0.9600000000000002,47,1
12b,-2.77,0.18000000000000016,51,2
13w,-2.9,0.1299999999999999,46,1
13b,-2.62,0.2799999999999998,51,0
14w,-2.92,0.2999999999999998,45,1
14b,-1.86,1.0599999999999998,50,1
15w,-2.13,0.2699999999999998,44,1
15b,-1.55,0.5799999999999998,49,1
16w,-1.64,0.08999999999999986,42,2
16b,-1.59,0.04999999999999982,45,4
17w,-1.35,0,41,1
17b,-1.44,0,45,0
18w,-1.14,0,40,1
18b,-0.62,0.5199999999999999,42,3
19w,-0.5,0,38,2
19b,6.32,6.82,38,4
1w,0.09,0,180,0
1b,0.17,0.08000000000000002,180,0
2w,0.03,0.14,179,1
2b,0.17,0.14,179,1
3w,0.0,0.17,177,2
3b,0.0,0,178,1
4w,-0.01,0.01,173,4
4b,0.0,0.01,175,3
5w,0.0,0,172,1
5b,0.0,0,173,2
6w,-0.02,0.02,171,1
6b,0.13,0.15,172,1
7w,-0.26,0.39,168,3
7b,-0.26,0,171,1
8w,-0.27,0.010000000000000009,168,0
8b,-0.17,0.1,170,1
9w,-0.45,0.28,168,0
9b,-0.15,0.30000000000000004,167,3
10w,-0.45,0.30000000000000004,168,0
10b,-0.42,0.030000000000000027,165,2
11w,-0.42,0,150,18
11b,-0.38,0.03999999999999998,162,3
12w,-0.25,0,148,2
12b,-0.24,0.010000000000000009,160,2
13w,-0.4,0.16000000000000003,145,3
13b,-0.23,0.17,158,2
14w,-0.4,0.17,143,2
14b,-0.1,0.30000000000000004,149,9
15w,-0.27,0.17,138,5
15b,-0.22,0.05000000000000002,146,3
16w,-0.48,0.26,134,4
16b,-0.42,0.06,137,9
17w,-0.53,0.11000000000000004,133,1
17b,-0.46,0.07,136,1
18w,-0.48,0.019999999999999962,129,4
18b,-0.35,0.13,133,3
19w,-0.51,0.16000000000000003,127,2
19b,-0.35,0.16000000000000003,129,4
20w,-0.37,0.020000000000000018,126,1
20b,-0.28,0.08999999999999997,124,5
21w,-0.58,0.29999999999999993,125,1
21b,-0.52,0.05999999999999994,122,2
22w,-0.65,0.13,120,5
22b,-0.78,0,116,6
23w,-0.8,0.020000000000000018,115,5
23b,-0.08,0.7200000000000001,87,29
24w,-0.16,0.08,111,4
24b,-0.07,0.09,83,4
25w,-0.43,0.36,111,0
25b,-0.4,0.02999999999999997,80,3
26w,-0.4,0,101,10
26b,-0.17,0.23,73,7
27w,-0.5,0.32999999999999996,97,4
27b,-0.47,0.030000000000000027,70,3
28w,-0.5,0.030000000000000027,94,3
28b,-0.17,0.32999999999999996,68,2
29w,-0.21,0.03999999999999998,91,3
29b,-0.16,0.04999999999999999,62,6
30w,-0.42,0.26,86,5
30b,0.0,0.42,53,9
31w,0.0,0,82,4
31b,0.0,0,45,8
32w,0.0,0,78,4
32b,6.02,6.02,29,16
33w,5.59,0.4299999999999997,78,0
33b,5.93,0.33999999999999986,28,1
34w,5.99,0,72,6
34b,5.92,0,20,8
35w,5.75,0.16999999999999993,69,3
35b,5.74,0,20,0
36w,5.67,0.07000000000000028,68,1
36b,5.59,0,19,1
37w,3.23,2.36,65,3
37b,5.9,2.6700000000000004,17,2
38w,5.96,0,63,2
38b,3.93,0,17,0
39w,3.52,0.41000000000000014,55,8
39b,5.27,1.7499999999999996,17,0
40w,2.82,2.4499999999999997,27,28
40b,3.49,0.6700000000000004,15,2
41w,3.31,0.18000000000000016,23,4
41b,3.37,0.06000000000000005,15,0
42w,2.76,0.6100000000000003,21,2
42b,3.06,0.30000000000000027,14,1
43w,2.3,0.7600000000000002,9,12
43b,3.28,0.98,12,2
1w,0.08,0,60,0
1b,0.07,0,60,0
2w,0.1,0,60,0
2b,0.06,0,60,0
3w,0.2,0,59,1
3b,0.43,0.22999999999999998,59,1
4w,0.12,0.31,58,1
4b,0.36,0.24,59,0
5w,0.14,0.21999999999999997,57,1
5b,0.51,0.37,58,1
6w,0.44,0.07,56,1
6b,0.45,0.010000000000000009,57,1
7w,0.18,0.27,55,1
7b,0.17,0,56,1
8w,0.17,0,55,0
8b,0.13,0,56,0
9w,0.2,0,54,1
9b,0.22,0.01999999999999999,56,0
10w,0.09,0.13,54,0
10b,0.15,0.06,55,1
11w,0.14,0.009999999999999981,54,0
11b,0.1,0,54,1
12w,0.09,0.010000000000000009,51,3
12b,0.27,0.18000000000000002,53,1
13w,0.19,0.08000000000000002,50,1
13b,0.17,0,53,0
14w,0.12,0.05000000000000002,50,0
14b,0.39,0.27,53,0
15w,0.32,0.07,49,1
15b,3.1,2.7800000000000002,51,2
16w,0.29,2.81,48,1
16b,1.37,1.08,47,4
17w,0.77,0.6000000000000001,46,2
17b,0.99,0.21999999999999997,36,11
18w,1.0,0,45,1
18b,0.77,0,36,0
19w,0.92,0,41,4
19b,0.62,0,35,1
20w,0.0,0.62,31,10
20b,2.93,2.93,33,2
21w,2.66,0.27,28,3
21b,2.51,0,32,1
22w,-1.82,4.33,27,1
22b,-1.97,0,29,3
23w,-5.73,3.7600000000000007,24,3
23b,-1.84,3.8900000000000006,28,1
24w,-15.56,13.72,21,3
24b,-15.2,0.3600000000000012,26,2
25w,-14.43,0,21,0
25b,-13.53,0.9000000000000004,24,2
26w,-13.37,0,20,1
26b,-12.8,0.5699999999999985,23,1
27w,-10.0,0,19,1
27b,-10.0,0,22,1
28w,-10.0,0,18,1
28b,-10.0,0,20,2
1w,0.09,0,120,2
1b,0.23,0.14,120,2
2w,0.25,0,121,1
2b,0.26,0.010000000000000009,121,1
3w,0.19,0.07,121,2
3b,0.0,0,122,1
4w,-0.14,0.14,122,1
4b,0.0,0.14,123,1
5w,0.0,0,124,0
5b,0.0,0,121,4
6w,-0.01,0.01,126,0
6b,-0.03,0,123,0
7w,-0.03,0,126,2
7b,-0.07,0,125,0
8w,0.04,0,127,1
8b,0.08,0.04,127,0
9w,-0.01,0.09,129,0
9b,0.03,0.04,128,1
10w,-0.05,0.08,129,2
10b,0.07,0.12000000000000001,98,32
11w,0.0,0.07,128,3
11b,0.08,0.08,93,7
12w,0.0,0.08,121,9
12b,0.29,0.29,91,4
13w,0.07,0.21999999999999997,115,8
13b,0.86,0.79,88,5
14w,0.0,0.86,103,14
14b,1.4,1.4,61,29
15w,-0.01,1.41,97,8
15b,0.0,0.01,62,1
16w,0.0,0,99,0
16b,0.17,0.17,49,15
17w,-1.32,1.49,75,26
17b,-0.97,0.3500000000000001,46,5
18w,-1.15,0.17999999999999994,77,0
18b,-0.97,0.17999999999999994,39,9
19w,-2.49,1.5200000000000002,74,5
19b,-2.49,0,37,4
20w,-2.48,0,49,27
20b,-2.31,0.16999999999999993,25,14
21w,-3.64,1.33,42,9
21b,-3.45,0.18999999999999995,27,0
22w,-3.71,0.2599999999999998,40,4
22b,-3.52,0.18999999999999995,24,5
23w,-3.58,0.06000000000000005,42,0
23b,-3.54,0.040000000000000036,21,5
24w,-4.18,0.6399999999999997,43,1
24b,-4.05,0.1299999999999999,22,1
25w,-4.17,0.1200000000000001,45,0
25b,-3.71,0.45999999999999996,15,9
26w,-3.94,0.22999999999999998,45,2
26b,-4.01,0,15,2
27w,-4.2,0.1900000000000004,46,1
27b,-4.07,0.1299999999999999,15,2
28w,-4.37,0.2999999999999998,47,1
28b,-4.2,0.16999999999999993,15,2
29w,-4.34,0.13999999999999968,48,1
29b,-4.0,0.33999999999999986,16,1
30w,-3.95,0,47,3
30b,-3.75,0.20000000000000018,15,3
31w,-3.68,0,48,1
31b,-0.63,3.0500000000000003,16,1
32w,-0.68,0.050000000000000044,48,2
32b,-0.57,0.1100000000000001,17,1
33w,-0.8,0.2300000000000001,49,1
33b,-0.64,0.16000000000000003,16,3
34w,-0.62,0,51,0
34b,-0.08,0.54,12,6
35w,-0.08,0,51,2
35b,0.0,0.08,11,3
36w,0.0,0,48,5
36b,0.4,0.4,6,7
37w,0.38,0.020000000000000018,45,5
37b,2.19,1.81,7,1
38w,2.25,0,46,1
38b,3.9,1.65,9,0
1w,0.08,0,180,0
1b,0.31,0.22999999999999998,180,0
2w,0.15,0.16,180,0
2b,0.23,0.08000000000000002,179,1
3w,0.02,0.21000000000000002,178,2
3b,0.22,0.2,179,0
4w,-0.2,0.42000000000000004,176,2
4b,0.25,0.45,177,2
5w,0.32,0,175,1
5b,0.29,0,176,1
6w,0.2,0.08999999999999997,174,1
6b,0.14,0,175,1
7w,0.15,0,173,1
7b,0.28,0.13000000000000003,175,0
8w,0.12,0.16000000000000003,171,2
8b,0.52,0.4,173,2
9w,0.47,0.050000000000000044,170,1
9b,0.56,0.09000000000000008,172,1
10w,0.32,0.24000000000000005,168,2
10b,0.52,0.2,171,1
11w,0.51,0.010000000000000009,167,1
11b,0.62,0.10999999999999999,170,1
12w,0.33,0.29,165,2
12b,0.28,0,169,1
13w,0.22,0.060000000000000026,163,2
13b,0.34,0.12000000000000002,165,4
14w,0.32,0.020000000000000018,161,2
14b,0.66,0.34,161,4
15w,0.57,0.09000000000000008,155,6
15b,0.83,0.26,157,4
16w,0.67,0.15999999999999992,150,5
16b,0.93,0.26,154,3
17w,0.99,0,146,4
17b,1.05,0.06000000000000005,147,7
18w,0.64,0.41000000000000003,131,15
18b,1.15,0.5099999999999999,146,1
19w,0.85,0.29999999999999993,126,5
19b,1.42,0.57,122,24
20w,0.88,0.5399999999999999,106,20
20b,2.15,1.27,118,4
21w,2.12,0.029999999999999805,96,10
21b,2.17,0.04999999999999982,115,3
22w,2.1,0.06999999999999984,94,2
22b,4.21,2.11,110,5
23w,4.65,0,93,1
23b,5.45,0.7999999999999998,109,1
24w,3.2,2.25,91,2
24b,5.42,2.2199999999999998,108,1
25w,5.06,0.3600000000000003,88,3
25b,12.6,7.54,100,8
1w,0.08,0,60,0
1b,0.07,0,60,0
2w,0.07,0,60,0
2b,0.21,0.13999999999999999,59,1
3w,0.0,0.21,59,1
3b,0.24,0.24,57,2
4w,0.15,0.09,58,1
4b,0.53,0.38,56,1
5w,0.0,0.53,58,0
5b,0.04,0.04,56,0
6w,0.02,0.02,58,0
6b,0.43,0.41,55,1
7w,-0.02,0.45,57,1
7b,-0.02,0,54,1
8w,-0.06,0.039999999999999994,56,1
8b,-0.03,0.03,53,1
9w,-0.2,0.17,55,1
9b,-0.1,0.1,50,3
10w,-0.09,0,54,1
10b,-0.09,0,50,0
11w,-0.08,0,54,0
11b,-0.06,0.020000000000000004,49,1
12w,-0.21,0.15,53,1
12b,0.0,0.21,48,1
13w,-0.1,0.1,52,1
13b,0.15,0.25,44,4
14w,0.1,0.04999999999999999,49,3
14b,0.01,0,43,1
15w,-0.19,0.2,47,2
15b,0.1,0.29000000000000004,42,1
16w,-0.12,0.22,46,1
16b,-0.07,0.04999999999999999,42,0
17w,-0.12,0.04999999999999999,44,2
17b,0.0,0.12,41,1
18w,-0.15,0.15,42,2
18b,-0.18,0,41,0
19w,-0.29,0.10999999999999999,42,0
19b,-0.2,0.08999999999999997,41,0
20w,-0.29,0.08999999999999997,40,2
20b,-0.12,0.16999999999999998,36,5
21w,-0.22,0.1,37,3
21b,-0.08,0.14,33,3
22w,-0.25,0.16999999999999998,35,2
22b,0.0,0.25,32,1
23w,-1.4,1.4,32,3
23b,-0.22,1.18,23,9
24w,-0.25,0.03,32,0
24b,-0.2,0.04999999999999999,23,0
25w,-0.58,0.37999999999999995,28,4
25b,-0.31,0.26999999999999996,19,4
26w,-0.43,0.12,27,1
26b,0.56,0.99,14,5
27w,-0.46,1.02,26,1
27b,-0.15,0.31000000000000005,14,0
28w,-0.58,0.42999999999999994,26,0
28b,-0.69,0,14,0
29w,-0.65,0,25,1
29b,-0.46,0.19,13,1
30w,-2.36,1.9,16,9
30b,-2.17,0.18999999999999995,11,2
31w,-5.14,2.9699999999999998,14,2
31b,-4.62,0.5199999999999996,9,2
32w,-5.1,0.47999999999999954,13,1
32b,-4.57,0.5299999999999994,8,1
33w,-10.0,5.43,11,2
33b,-10.0,0,8,0
34w,-10.0,0,10,1
34b,-10.0,0,8,0
1w,0.09,0,120,0
1b,0.23,0.14,120,0
2w,0.25,0,119,1
2b,0.26,0.010000000000000009,120,0
3w,0.06,0.2,118,1
3b,0.3,0.24,119,1
4w,0.1,0.19999999999999998,115,3
4b,0.08,0,119,0
5w,0.17,0,114,1
5b,0.14,0,118,1
6w,0.27,0,113,1
6b,0.23,0,118,0
7w,0.18,0.05000000000000002,113,0
7b,0.24,0.06,118,0
8w,0.24,0,112,1
8b,0.2,0,118,0
9w,0.0,0.2,111,1
9b,0.25,0.25,117,1
10w,-0.2,0.45,110,1
10b,-0.18,0.020000000000000018,116,1
11w,-0.52,0.34,107,3
11b,-0.46,0.06,115,1
12w,-0.64,0.18,105,2
12b,-0.52,0.12,113,2
13w,-0.57,0.04999999999999993,103,2
13b,-0.4,0.16999999999999993,111,2
14w,-0.4,0,101,2
14b,-0.44,0,109,2
15w,-0.52,0.08000000000000002,99,2
15b,-0.49,0.030000000000000027,107,2
16w,-0.53,0.040000000000000036,89,10
16b,-0.43,0.10000000000000003,106,1
17w,-0.42,0,87,2
17b,0.0,0.42,104,2
18w,0.0,0,84,3
18b,0.0,0,97,7
19w,0.0,0,84,0
19b,0.17,0.17,90,7
20w,0.0,0.17,82,2
20b,0.0,0,84,6
21w,0.0,0,72,10
21b,0.0,0,82,2
22w,0.0,0,69,3
22b,0.15,0.15,80,2
23w,0.08,0.06999999999999999,66,3
23b,0.07,0,80,0
