Move Number,Eval,Centipawn Loss,Time Left,Time Spent
28w,0.89,0.07999999999999996,28,1
28b,3.92,3.03,38,1
29w,3.6,0.31999999999999984,26,2
29b,17.74,14.139999999999999,37,1
30w,16.2,1.5399999999999991,24,2
30b,19.65,3.4499999999999993,36,1
31w,17.12,2.5299999999999976,24,0
31b,10.0,0,36,0
32w,10.0,0,23,1
32b,10.0,0,34,2
33w,10.0,0,20,3
33b,10.0,0,28,6
1w,0.07,0,60,0
1b,0.2,0.13,60,0
2w,0.12,0.08000000000000002,59,1
2b,0.23,0.11000000000000001,60,0
3w,-0.26,0.49,59,0
3b,0.06,0.32,60,0
4w,-0.27,0.33,59,0
4b,0.29,0.56,59,1
5w,0.31,0,58,1
5b,0.3,0,58,1
6w,-0.07,0.37,58,0
6b,0.16,0.23,57,1
7w,-0.47,0.63,56,2
7b,0.03,0.5,57,0
8w,-0.29,0.31999999999999995,55,1
8b,-0.15,0.13999999999999999,55,2
9w,-0.32,0.17,54,1
9b,0.26,0.5800000000000001,53,2
10w,0.13,0.13,53,1
10b,0.34,0.21000000000000002,52,1
11w,-0.26,0.6000000000000001,52,1
11b,0.08,0.34,51,1
12w,-0.4,0.48000000000000004,51,1
12b,0.88,1.28,50,1
13w,-1.6,2.48,48,3
13b,-1.33,0.27,49,1
14w,-1.52,0.18999999999999995,46,2
14b,-0.58,0.9400000000000001,43,6
15w,-1.11,0.5300000000000001,45,1
15b,-0.88,0.2300000000000001,42,1
16w,-1.11,0.2300000000000001,41,4
16b,-0.85,0.2600000000000001,41,1
17w,-1.39,0.5399999999999999,37,4
17b,10.0,11.39,39,2
18w,-0.64,10.64,34,3
18b,10.0,10.64,38,1
19w,-1.25,11.25,32,2
19b,-1.22,0.030000000000000027,37,1
20w,-1.21,0,32,0
20b,-1.13,0.08000000000000007,36,1
21w,-1.29,0.16000000000000014,29,3
21b,1.41,2.7,34,2
22w,1.27,0.1399999999999999,29,0
22b,1.22,0,28,6
23w,1.19,0.030000000000000027,26,3
23b,1.29,0.10000000000000009,21,7
24w,-13.57,14.86,22,4
24b,-13.26,0.3100000000000005,20,1
25w,-56.07,42.81,13,9
25b,-23.98,32.09,19,1
26w,-10.0,0,11,2
26b,-22.67,0,18,1
1w,0.09,0,600,0
1b,0.29,0.19999999999999998,600,0
2w,0.24,0.04999999999999999,598,2
2b,0.24,0,594,6
3w,0.33,0,598,0
3b,0.16,0,588,6
4w,0.22,0,598,0
4b,0.12,0,582,6
5w,0.0,0.12,595,3
5b,0.13,0.13,568,14
6w,0.22,0,592,3
6b,0.32,0.1,561,7
7w,0.14,0.18,587,5
7b,0.35,0.20999999999999996,555,6
8w,0.29,0.06,587,0
8b,0.34,0.050000000000000044,530,25
9w,0.38,0,582,5
9b,0.36,0,519,11
10w,0.32,0.03999999999999998,580,2
10b,0.51,0.19,498,21
11w,0.25,0.26,578,2
11b,0.68,0.43000000000000005,469,29
12w,0.18,0.5,571,7
12b,0.28,0.10000000000000003,458,11
13w,0.2,0.08000000000000002,570,1
13b,0.22,0.01999999999999999,438,20
14w,0.28,0,561,9
14b,0.31,0.02999999999999997,430,8
15w,0.1,0.21,557,4
15b,0.24,0.13999999999999999,417,13
16w,0.16,0.07999999999999999,554,3
16b,0.38,0.22,374,43
17w,-0.26,0.64,549,5
17b,0.62,0.88,366,8
18w,0.27,0.35,545,4
18b,0.36,0.08999999999999997,341,25
19w,0.15,0.21,544,1
19b,0.16,0.010000000000000009,286,55
20w,0.19,0,541,3
20b,0.38,0.19,255,31
21w,0.08,0.3,536,5
21b,0.17,0.09000000000000001,242,13
22w,0.04,0.13,535,1
22b,-0.01,0,193,49
23w,-0.15,0.13999999999999999,520,15
23b,0.0,0.15,185,8
24w,-0.08,0.08,519,1
24b,-0.22,0,169,16
25w,-0.23,0.010000000000000009,456,63
25b,0.0,0.23,112,57
26w,-0.77,0.77,421,35
26b,1.55,2.3200000000000003,101,11
27w,1.07,0.48,413,8
27b,1.21,0.1399999999999999,95,6
28w,0.84,0.37,409,4
28b,1.78,0.9400000000000001,87,8
29w,1.3,0.48,384,25
29b,1.18,0,85,2
30w,0.62,0.5599999999999999,384,0
30b,0.87,0.25,82,3
31w,0.74,0.13,380,4
31b,1.43,0.69,72,10
